,0,1,2,3
0,1,15,0,0.5106382978723404
1,2,17,6,0.875886524822695
2,1,14,0,0.5070921985815603
3,1,8,0,0.33687943262411346
4,1,4,0,0.08156028368794327
5,1,13,0,0.49645390070921985
6,1,14,0,0.5070921985815603
7,2,10,15,0.8971631205673759
8,2,17,8,0.9468085106382979
9,2,18,8,0.9290780141843972
10,1,20,0,0.4219858156028369
11,2,8,1,0.4148936170212766
12,1,9,0,0.3829787234042553
13,1,21,0,0.3829787234042553
14,1,9,0,0.3829787234042553
15,1,7,0,0.28368794326241137
16,2,4,15,0.5567375886524822
17,2,17,18,0.875886524822695
18,2,20,11,0.925531914893617
19,2,11,13,0.9574468085106383
20,2,21,23,0.46099290780141844
21,2,21,5,0.7163120567375887
22,1,8,0,0.33687943262411346
23,1,22,0,0.33687943262411346
24,2,9,22,0.5354609929078015
25,1,12,0,0.4787234042553192
26,2,15,8,0.9609929078014184
27,2,11,21,0.6737588652482269
28,1,17,0,0.49645390070921985
29,1,19,0,0.45390070921985815
30,2,11,19,0.7872340425531915
31,2,13,11,1.0
32,1,14,0,0.5070921985815603
33,2,12,13,0.9822695035460993
34,1,12,0,0.4787234042553192
35,2,16,18,0.8865248226950354
36,1,19,0,0.45390070921985815
37,2,10,12,0.9290780141843972
38,1,23,0,0.28368794326241137
39,1,3,0,0.0
40,2,15,21,0.7304964539007093
41,2,17,11,1.0
42,2,3,8,0.450354609929078
43,2,7,21,0.5035460992907801
44,1,15,0,0.5106382978723404
45,2,12,16,0.9290780141843972
46,1,11,0,0.45390070921985815
47,2,10,15,0.8971631205673759
48,2,19,14,0.9468085106382979
49,2,4,12,0.5886524822695035
