,0,1,2,3
0,1,18,0,0.5844748858447488
1,2,6,9,0.8767123287671232
2,1,21,0,0.3789954337899543
3,1,20,0,0.45662100456621
4,1,3,0,0.3789954337899543
5,2,6,2,0.7168949771689498
6,2,19,5,0.7808219178082192
7,1,8,0,0.6757990867579908
8,2,7,21,0.1598173515981735
9,1,9,0,0.7077625570776256
10,1,10,0,0.730593607305936
11,1,18,0,0.5844748858447488
12,1,21,0,0.3789954337899543
13,2,21,8,0.6757990867579908
14,1,19,0,0.5251141552511416
15,1,15,0,0.7077625570776256
16,1,3,0,0.3789954337899543
17,1,9,0,0.7077625570776256
18,1,15,0,0.7077625570776256
19,1,21,0,0.3789954337899543
20,2,6,7,0.8767123287671232
21,2,21,15,0.4520547945205479
22,1,11,0,0.7442922374429224
23,1,10,0,0.730593607305936
24,2,18,17,0.5114155251141552
25,1,22,0,0.2922374429223744
26,2,18,7,0.8767123287671232
27,1,10,0,0.730593607305936
28,1,22,0,0.2922374429223744
29,1,16,0,0.6757990867579908
30,1,16,0,0.6757990867579908
31,1,16,0,0.6757990867579908
32,1,22,0,0.2922374429223744
33,2,2,19,0.0365296803652968
34,2,9,11,0.9634703196347032
35,1,10,0,0.730593607305936
36,1,13,0,0.7442922374429224
37,1,15,0,0.7077625570776256
38,1,2,0,0.2922374429223744
39,2,10,23,0.0
40,1,20,0,0.45662100456621
41,2,12,18,0.589041095890411
42,2,8,20,0.3150684931506849
43,2,6,9,0.8767123287671232
44,2,8,20,0.3150684931506849
45,2,21,5,0.634703196347032
46,1,19,0,0.5251141552511416
47,1,23,0,0.1963470319634703
48,2,11,5,1.0
49,1,9,0,0.7077625570776256
