,0,1,2,3
0,1,14,0,0.5666666666666667
1,2,17,4,0.6851851851851852
2,1,7,0,0.5925925925925926
3,2,9,19,0.6962962962962963
4,2,7,6,0.9074074074074074
5,1,3,0,0.4444444444444444
6,1,2,0,0.3888888888888889
7,2,8,23,0.3592592592592593
8,1,22,0,0.09259259259259259
9,2,6,11,0.937037037037037
10,2,7,5,0.8740740740740741
11,1,6,0,0.5666666666666667
12,1,13,0,0.5925925925925926
13,1,9,0,0.6222222222222222
14,1,6,0,0.5666666666666667
15,1,23,0,0.0
16,1,6,0,0.5666666666666667
17,2,2,5,0.6703703703703704
18,1,17,0,0.4444444444444444
19,1,2,0,0.3888888888888889
20,2,12,14,0.9259259259259259
21,1,8,0,0.6111111111111112
22,2,16,20,0.4962962962962963
23,1,4,0,0.4925925925925926
24,2,2,16,0.6296296296296297
25,2,15,7,0.8740740740740741
26,1,7,0,0.5925925925925926
27,1,17,0,0.4444444444444444
28,2,2,5,0.6703703703703704
29,2,18,2,0.5259259259259259
30,1,15,0,0.5333333333333333
31,2,2,11,0.7592592592592593
32,1,20,0,0.25555555555555554
33,2,2,13,0.7296296296296296
34,2,7,18,0.7296296296296296
35,2,4,4,0.7333333333333333
36,2,14,23,0.3148148148148148
37,2,14,7,0.9074074074074074
38,1,18,0,0.3888888888888889
39,1,13,0,0.5925925925925926
40,1,5,0,0.5333333333333333
41,1,15,0,0.5333333333333333
42,2,18,5,0.6703703703703704
43,1,6,0,0.5666666666666667
44,1,11,0,0.6222222222222222
45,2,12,15,0.8925925925925926
46,2,3,2,0.5814814814814815
47,1,19,0,0.32592592592592595
48,1,12,0,0.6111111111111112
49,2,10,10,1.0
